map_name,unlock_version,area_group,area_detail
ラーディス王島,ver1,ウェナ諸島,アストルティア初期/関連エリア
ラギ雪原,ver1,オーグリード大陸,アストルティア初期/関連エリア
楽園,ver3,ナドラガンド大陸,ナドラガンド/領界系
落陽の草原,ver1,エルトナ大陸,アストルティア初期/関連エリア
ラゼアの風穴,ver2,レンダーシア大陸,レンダーシア系
ラニアッカ断層帯,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
ラニ大洞穴,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
ラランブラ山道,ver7.0,果ての大地ゼニアス,ゼニアス系
ランガーオ山地,ver1,オーグリード大陸,アストルティア初期/関連エリア
ランガーオ村,ver1,オーグリード大陸,アストルティア初期/関連エリア
ランドン山脈,ver1,オーグリード大陸,アストルティア初期/関連エリア
ランドン山脈(過去),ver1,過去のオーグリード大陸,アストルティア初期/関連エリア
ランドン山脈山頂付近,ver1,オーグリード大陸,アストルティア初期/関連エリア
ランドン山脈山頂付近(過去),ver1,過去のオーグリード大陸,アストルティア初期/関連エリア
ランドンフット,ver1,オーグリード大陸,アストルティア初期/関連エリア
ランドンフット(過去),ver1,過去のオーグリード大陸,アストルティア初期/関連エリア
竜族の隠れ里,ver3,レンダーシア大陸,Ver3で初めて訪れるアストルティア側マップ
リンクル地方,ver1,プクランド大陸,アストルティア初期/関連エリア
ルクスガルン大空洞,ver5.4,魔界,総称。正式には魔ルクスガルン大空洞/盾ルクスガルン大空洞に分かれるため要確認
レーナム緑野,ver1,ウェナ諸島,アストルティア初期/関連エリア
レーンの村,ver1,ウェナ諸島,アストルティア初期/関連エリア
レストリア平野,ver7.0,果ての大地ゼニアス,ゼニアス系
烈火の渓谷,ver3,ナドラガンド大陸,ナドラガンド/領界系
煉獄の谷,ver3,ナドラガンド大陸,ナドラガンド/領界系
ロンダの氷穴,ver1,オーグリード大陸,アストルティア初期/関連エリア
闇の辺獄,ver3,ナドラガンド大陸,ナドラガンド/領界系
雄峰ランドン,ver4.2,過去と未来,古オーグリード系
宵の神殿,ver7.0,果ての大地ゼニアス,ゼニアス系
マキュリ集落,ver7.4,果ての大地ゼニアス,ゼニアス系
魔窟アラモンド,ver6.3,天星郷フォーリオン,天星郷系
魔幻園マデッサンス,ver5.1,魔界,魔界系
魔幻宮殿,ver5.1,魔界,魔界系
魔幻都市ゴーラ跡,ver5.1,魔界,魔界系
魔瘴調査区画,ver4.4,プクランド大陸,アストルティア初期/関連エリア
マデ神殿,ver4.5,過去と未来,エテーネ王国/時渡り系
マデ島,ver2,レンダーシア大陸,レンダーシア系
港町レンドア北,ver1,レンダーシア周辺・共通施設,アストルティア初期/関連エリア
港町レンドア南,ver1,レンダーシア周辺・共通施設,アストルティア初期/関連エリア
ミューズ海岸,ver1,ウェナ諸島,アストルティア初期/関連エリア
ミュルエルの森,ver1,プクランド大陸,アストルティア初期/関連エリア
夢幻の森,ver1,エルトナ大陸,アストルティア初期/関連エリア
ムストの町,ver3,ナドラガンド大陸,ナドラガンド/領界系
ムニエカ地方,ver7.0,果ての大地ゼニアス,ゼニアス系
ムニエカの深層,ver7.1,果ての大地ゼニアス,ゼニアス系
ムニエカの町,ver7.0,果ての大地ゼニアス,ゼニアス系
冥闇の聖塔,ver3,ナドラガンド大陸,ナドラガンド/領界系
冥王の心臓,ver1,過去のオーグリード大陸,アストルティア初期/関連エリア
命脈の神殿,ver6.0,天星郷フォーリオン,天星郷系
盟友の虚無,ver6.2,悪神の心域,悪神の心域系
メギストリス城,ver1,プクランド大陸,アストルティア初期/関連エリア
メギストリスの都,ver1,プクランド大陸,アストルティア初期/関連エリア
メギストリス領,ver1,プクランド大陸,アストルティア初期/関連エリア
メギラザの洞くつ,ver1,プクランド大陸,アストルティア初期/関連エリア
恵みの木,ver3,ナドラガンド大陸,ナドラガンド/領界系
滅星の邪園,ver5.5,魔界,魔界系
滅星の深淵,ver5.5,魔界,魔界系
メネト村,ver7.0,果ての大地ゼニアス,ゼニアス系
モガリム街道,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
モガレの洞くつ,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
モリナラ大森林,ver1,エルトナ大陸,アストルティア初期/関連エリア
モリナラ地下洞,ver1,エルトナ大陸,アストルティア初期/関連エリア
モンセロ温泉峡,ver2,レンダーシア大陸,レンダーシア系
廃墟のドミネウス邸,ver4.0,過去と未来,エテーネ王国/時渡り系
バカン山道,ver7.0,果ての大地ゼニアス,ゼニアス系
白霜の流氷野,ver3,ナドラガンド大陸,ナドラガンド/領界系
薄明の小路,ver6.1,悪神の心域,悪神の心域系
はじまりの地,ver7.0,果ての大地ゼニアス,ゼニアス系
ハディン採石場,ver7.0,果ての大地ゼニアス,ゼニアス系
ハディン地下洞くつ,ver7.1,果ての大地ゼニアス,ゼニアス系
バドリー岩石地帯,ver1,オーグリード大陸,アストルティア初期/関連エリア
パドレア邸,ver4.0,過去と未来,エテーネ王国/時渡り系
浜辺の洞くつ,ver1,オーグリード大陸,アストルティア初期/関連エリア
バルディア山岳地帯,ver5.0,魔界,魔界系
バルディスタ城,ver5.0,魔界,魔界系
バルディスタ要塞,ver5.0,魔界,魔界系
バルメシュケの研究所,ver7.3,果ての大地ゼニアス,ゼニアス系
バントリユ地方,ver4,過去と未来,古・バントリユ地方/現・バントリユ地方の総称として補完。実データ優先
東の荒野,ver1,過去のオーグリード大陸,アストルティア初期/関連エリア
光の郷フィネトカ,ver5.4,魔界,魔界系
秘伝の間,ver6.5,天星郷フォーリオン,天星郷系
氷晶の聖塔,ver3,ナドラガンド大陸,ナドラガンド/領界系
ファボル鉱山,ver6.0,天星郷フォーリオン,天星郷系
ファラザード城,ver5.0,魔界,魔界系
風車の丘,ver1,プクランド大陸,アストルティア初期/関連エリア
ブーナー熱帯雨林,ver1,ウェナ諸島,アストルティア初期/関連エリア
フェザリアス山,ver3,ナドラガンド大陸,ナドラガンド/領界系
フェルアバの洞くつ,ver1,プクランド大陸,アストルティア初期/関連エリア
フォーリオン外郭,ver6.0,天星郷フォーリオン,天星郷系
フォーリオン造成地,ver6.2,天星郷フォーリオン,天星郷系
ブオーンの体内,ver2,レンダーシア大陸,レンダーシア系
プクレット地方,ver1,プクランド大陸,アストルティア初期/関連エリア
プクレットの村,ver1,プクランド大陸,アストルティア初期/関連エリア
不死の魔王城,ver4.1,過去と未来,エテーネ王国/時渡り系
プペラトンネル,ver1,プクランド大陸,アストルティア初期/関連エリア
冬の宮殿,ver7.4,果ての大地ゼニアス,ゼニアス系
ブラニック採石場,ver5.0,魔界,魔界系
ベコン渓谷,ver1,オーグリード大陸,アストルティア初期/関連エリア
ペシュヤ地下空洞,ver1,ウェナ諸島,アストルティア初期/関連エリア
ベルヴァインの森西,ver5.0,魔界,魔界系
ベルヴァインの森東,ver5.0,魔界,魔界系
辺境警備隊詰所,ver4.0,過去と未来,エテーネ王国/時渡り系
辺境の雪山,ver4.2,過去と未来,古オーグリード系
豊穣の密林,ver6.0,天星郷フォーリオン,天星郷系
封神の参道,ver5.3,魔界,魔界系
ポーポラ地方,ver1,プクランド大陸,アストルティア初期/関連エリア
ポポラパの洞くつ,ver1,プクランド大陸,アストルティア初期/関連エリア
ポポリアきのこ山,ver1,プクランド大陸,アストルティア初期/関連エリア
ポルネア山,ver2,レンダーシア大陸,レンダーシア系
ボロヌスの穴,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
ボロヌス溶岩流,ver1,ドワチャッカ大陸,アストルティア初期/関連エリア
ナグアの洞くつ,ver1,オーグリード大陸,アストルティア初期/関連エリア
ナドラガンドの混沌,ver6.4,神話の時代,神話の時代系
謎の地下水路,ver2,レンダーシア大陸,レンダーシア系
謎の地下迷宮,ver2,レンダーシア大陸,レンダーシア系
ナルビアの町,ver2,レンダーシア大陸,レンダーシア系
偽アラハギーロ王国,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽アラハギーロ地方,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽グランゼドーラ王国,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽グランゼドーラ領,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽ナシームの洞くつ,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽メルサンディ穀倉帯,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽リンジャハル海岸,ver2,レンダーシア大陸,正表記は「偽りのリンジャハル海岸」の可能性。追記実データを残して補完
偽レビュール街道北,ver2,偽りのレンダーシア,偽りのレンダーシア系
偽レビュール街道南,ver2,偽りのレンダーシア,偽りのレンダーシア系
