craftsman,category,equipmentLevel,craftLevel,equipmentName,materialName,quantity
武器職人,片手剣,Lv1,Lv1,どうのつるぎ,どうのこうせき,1
武器職人,両手剣,Lv2,Lv1,どうの大剣,どうのこうせき,1
武器職人,短剣,Lv1,Lv1,ブロンズナイフ,どうのこうせき,1
武器職人,斧,Lv2,Lv1,どうのオノ,どうのこうせき,1
武器職人,爪,Lv2,Lv1,どうのツメ,どうのこうせき,1
武器職人,片手剣,Lv3,Lv7,せいどうのつるぎ,どうのこうせき,1
武器職人,片手剣,Lv3,Lv7,せいどうのつるぎ,てっこうせき,1
武器職人,片手剣,Lv5,Lv7,レイピア,てっこうせき,1
武器職人,片手剣,Lv5,Lv7,レイピア,かぜきりのはね,1
武器職人,片手剣,Lv7,Lv14,てつのつるぎ,てっこうせき,3
武器職人,片手剣,Lv7,Lv14,てつのつるぎ,どうのこうせき,2
武器職人,片手剣,Lv9,Lv14,さんぞくのサーベル,てっこうせき,1
武器職人,片手剣,Lv9,Lv14,さんぞくのサーベル,けものの皮,1
武器職人,片手剣,Lv10,Lv21,ぎんのレイピア,ぎんのこうせき,1
武器職人,片手剣,Lv10,Lv21,ぎんのレイピア,てっこうせき,1
武器職人,片手剣,Lv14,Lv28,はがねのつるぎ,ぎんのこうせき,1
武器職人,片手剣,Lv14,Lv28,はがねのつるぎ,どうのこうせき,1
武器職人,片手剣,Lv14,Lv28,はがねのつるぎ,ブルーアイ,1
武器職人,両手剣,Lv4,Lv7,せいどうの大剣,どうのこうせき,1
武器職人,両手剣,Lv4,Lv7,せいどうの大剣,てっこうせき,1
武器職人,両手剣,Lv6,Lv7,ビッグブレード,どうのこうせき,1
武器職人,両手剣,Lv6,Lv7,ビッグブレード,大きなこうら,1
武器職人,両手剣,Lv8,Lv14,てつの大剣,てっこうせき,3
武器職人,両手剣,Lv8,Lv14,てつの大剣,どうのこうせき,2
武器職人,両手剣,Lv9,Lv14,ビッグブレードⅡ,てっこうせき,1
武器職人,両手剣,Lv9,Lv14,ビッグブレードⅡ,ブラックパール,1
武器職人,両手剣,Lv11,Lv21,シャドウエッジ,てっこうせき,1
武器職人,両手剣,Lv11,Lv21,シャドウエッジ,みがきずな,2
武器職人,両手剣,Lv15,Lv28,はがねの大剣,ぎんのこうせき,1
武器職人,両手剣,Lv15,Lv28,はがねの大剣,どうのこうせき,1
武器職人,両手剣,Lv15,Lv28,はがねの大剣,ブルーアイ,1
武器職人,短剣,Lv3,Lv7,聖なるナイフ,どうのこうせき,1
武器職人,短剣,Lv3,Lv7,聖なるナイフ,きよめの水,1
武器職人,短剣,Lv5,Lv7,どくがのナイフ,どうのこうせき,1
武器職人,短剣,Lv5,Lv7,どくがのナイフ,どくがのこな,1
武器職人,短剣,Lv7,Lv14,シーブスナイフ,てっこうせき,3
武器職人,短剣,Lv7,Lv14,シーブスナイフ,どうのこうせき,2
武器職人,短剣,Lv9,Lv14,アサシンダガー,てっこうせき,1
武器職人,短剣,Lv9,Lv14,アサシンダガー,するどいキバ,1
武器職人,短剣,Lv10,Lv21,ぎんの短剣,ぎんのこうせき,1
武器職人,短剣,Lv10,Lv21,ぎんの短剣,てっこうせき,1
武器職人,短剣,Lv14,Lv28,こあくまのナイフ,ぎんのこうせき,1
武器職人,短剣,Lv14,Lv28,こあくまのナイフ,こうもりのはね,1
武器職人,短剣,Lv14,Lv28,こあくまのナイフ,あやかしそう,1
武器職人,槍,Lv3,Lv7,せいどうのやり,どうのこうせき,1
武器職人,槍,Lv3,Lv7,せいどうのやり,てっこうせき,1
武器職人,槍,Lv5,Lv7,ロングスピア,てっこうせき,1
武器職人,槍,Lv5,Lv7,ロングスピア,するどいキバ,1
武器職人,槍,Lv7,Lv14,てつのやり,てっこうせき,3
武器職人,槍,Lv7,Lv14,てつのやり,どうのこうせき,2
武器職人,槍,Lv9,Lv14,近衛兵のやり,てっこうせき,1
武器職人,槍,Lv9,Lv14,近衛兵のやり,じょうぶな枝,1
武器職人,槍,Lv10,Lv21,ホーリーランス,てっこうせき,3
武器職人,槍,Lv10,Lv21,ホーリーランス,きよめの水,2
武器職人,槍,Lv14,Lv28,はがねのやり,ぎんのこうせき,1
武器職人,槍,Lv14,Lv28,はがねのやり,どうのこうせき,1
武器職人,槍,Lv14,Lv28,はがねのやり,ブルーアイ,1
武器職人,斧,Lv4,Lv7,せいどうのオノ,どうのこうせき,1
武器職人,斧,Lv4,Lv7,せいどうのオノ,てっこうせき,1
武器職人,斧,Lv6,Lv7,さんぞくのオノ,てっこうせき,1
武器職人,斧,Lv6,Lv7,さんぞくのオノ,けものの皮,1
武器職人,斧,Lv7,Lv14,てつのオノ,てっこうせき,3
武器職人,斧,Lv7,Lv14,てつのオノ,どうのこうせき,2
武器職人,斧,Lv9,Lv14,ライトアックス,てっこうせき,1
武器職人,斧,Lv9,Lv14,ライトアックス,しなやかな枝,1
武器職人,斧,Lv11,Lv21,シルバーアックス,ぎんのこうせき,1
武器職人,斧,Lv11,Lv21,シルバーアックス,てっこうせき,2
武器職人,斧,Lv15,Lv28,はがねのオノ,ぎんのこうせき,1
武器職人,斧,Lv15,Lv28,はがねのオノ,どうのこうせき,1
武器職人,斧,Lv15,Lv28,はがねのオノ,レッドアイ,1
武器職人,爪,Lv3,Lv7,せいどうのツメ,どうのこうせき,1
武器職人,爪,Lv3,Lv7,せいどうのツメ,てっこうせき,1
武器職人,爪,Lv5,Lv7,キャットクロー,てっこうせき,1
武器職人,爪,Lv5,Lv7,キャットクロー,ネコずな,1
武器職人,爪,Lv7,Lv14,てつのツメ,てっこうせき,3
武器職人,爪,Lv7,Lv14,てつのツメ,どうのこうせき,2
武器職人,爪,Lv9,Lv14,まよけのツメ,てっこうせき,1
武器職人,爪,Lv9,Lv14,まよけのツメ,ひかりの石,1
武器職人,爪,Lv10,Lv21,シルバークロー,ぎんのこうせき,1
武器職人,爪,Lv10,Lv21,シルバークロー,てっこうせき,2
武器職人,爪,Lv14,Lv28,はがねのツメ,ぎんのこうせき,1
武器職人,爪,Lv14,Lv28,はがねのツメ,どうのこうせき,1
武器職人,爪,Lv14,Lv28,はがねのツメ,けものの皮,1
武器職人,鞭,Lv5,Lv7,バトルリボン,てっこうせき,1
武器職人,鞭,Lv5,Lv7,バトルリボン,シルク草,1
武器職人,鞭,Lv7,Lv14,てつのムチ,てっこうせき,3
武器職人,鞭,Lv7,Lv14,てつのムチ,どうのこうせき,2
武器職人,鞭,Lv9,Lv14,へびかわのムチ,てっこうせき,1
武器職人,鞭,Lv9,Lv14,へびかわのムチ,ヘビのぬけがら,1
武器職人,鞭,Lv10,Lv21,ローズウィップ,ぎんのこうせき,1
武器職人,鞭,Lv10,Lv21,ローズウィップ,あやかしそう,1
武器職人,鞭,Lv14,Lv28,はがねのムチ,ぎんのこうせき,1
武器職人,鞭,Lv14,Lv28,はがねのムチ,どうのこうせき,1
武器職人,鞭,Lv14,Lv28,はがねのムチ,けものの皮,1
武器職人,ハンマー,Lv6,Lv7,せいどうのかなづち,てっこうせき,1
